"Action","Action"
"Actions","Actions"
"Add new slide","Add new slide"
"Add slide","Add slide"
"An error occured while deleting the slide.","An error occured while deleting the slide."
"An error occured while deleting the slideshow.","An error occured while deleting the slideshow."
"An error occured while moving the slide.","An error occured while moving the slide."
"An error occured while saving the slide.","An error occured while saving the slide."
"An error occured while saving the slideshow.","An error occured while saving the slideshow."
"Are you sure you want to delete this slide?","Are you sure you want to delete this slide?"
"Automatic","Automatic"
"Cancel","Cancel"
"Caption","Caption"
"Choose a product","Choose a product"
"Choose products","Choose products"
"Choose...","Choose..."
"Content","Content"
"Delete","Delete"
"Edit","Edit"
"Edit '%s'","Edit '%s'"
"Edit slide","Edit slide"
"Edit slideshow","Edit slideshow"
"Enable keyboard scroll?","Enable keyboard scroll?"
"Enable mouse wheel scroll?","Enable mouse wheel scroll?"
"E-reactor Slider","E-reactor Slider"
"Folder path","Folder path"
"For Product and HTML slides, only Slide and Fade are available.","For Product and HTML slides, only Slide and Fade are available."
"Found %d %s but could not generate any slides.","Found %d %s but could not generate any slides."
"Found %d %s but only %d slides could be created: %s.","Found %d %s but only %d slides could be created: %s."
"From images","From images"
"From products","From products"
"General","General"
"Generate","Generate"
"Generate many slides at once","Generate many slides at once"
"Generate slides from images","Generate slides from images"
"Generate slides from products","Generate slides from products"
"Height","Height"
"Height unit","Height unit"
"ID","ID"
"Image","Image"
"Image link","Image link"
"In a new window","In a new window"
"In the current window","In the current window"
"Link follow","Link follow"
"Manage slideshows","Manage slideshows"
"Manual","Manual"
"miliseconds","miliseconds"
"Move","Move"
"Name","Name"
"New slideshow","New slideshow"
"No","No"
"Not available if autoplay is disabled.","Not available if autoplay is disabled."
"Number of slides","Number of slides"
"or","or"
"Order","Order"
"Pause slideshow on mouseover","Pause slideshow on mouseover"
"Play automatically?","Play automatically?"
"Product","Product"
"Products","Products"
"Save","Save"
"Save and continue","Save and continue"
"Save changes","Save changes"
"Should search engines follow the link?","Should search engines follow the link?"
"Show navigation arrows","Show navigation arrows"
"Show navigation buttons as an overlay?","Show navigation buttons as an overlay?"
"Show navigation buttons?","Show navigation buttons?"
"Slide %d","Slide %d"
"Slide layout","Slide layout"
"Slide transition","Slide transition"
"Slide transitions","Slide transitions"
"Slides","Slides"
"Slideshow controls","Slideshow controls"
"Slideshow info","Slideshow info"
"Slideshows","Slideshows"
"Stretch","Stretch"
"Successfully generated slides from %d %s: %s.","Successfully generated slides from %d %s: %s."
"Text / HTML","Text / HTML"
"The path to the folder that contains the images","The path to the folder that contains the images"
"The slide has been deleted.","The slide has been deleted."
"The slide has been moved.","The slide has been moved."
"The slide has been saved.","The slide has been saved."
"The slideshow does not exist.","The slideshow does not exist."
"The slideshow has been deleted.","The slideshow has been deleted."
"The slideshow has been saved.","The slideshow has been saved."
"Theme","Theme"
"These are the arrows you use to move left/right between slides","These are the arrows you use to move left/right between slides"
"These are the buttons you use to jump between slides","These are the buttons you use to jump between slides"
"Time between slides","Time between slides"
"Title","Title"
"Transition easing","Transition easing"
"Transition time","Transition time"
"Type","Type"
"Unable to find the slide.","Unable to find the slide."
"Unable to find the slideshow.","Unable to find the slideshow."
"Values under 50 miliseconds are ignored.","Values under 50 miliseconds are ignored."
""When enabled, the buttons will appear over the slideshow"," when disabled, they will appear below."",""When enabled, the buttons will appear over the slideshow"," when disabled, they will appear below.""
"Where to open the link","Where to open the link"
"Width","Width"
"Width unit","Width unit"
"Yes","Yes"